id;managemeetid;course;id;name;shortname;fullname;name;record;new_url;fechacread
110834;4339;7011;216;Ley de emprendimiento;53715110;Finanzas personales;Clase 1 - 53715110;https://comfama.webex.com/comfama/ldr.php?RCID=ca4d00816a4b06239e7c97c68f64df8f;;27/02/23 0:00
113320;4341;7013;216;Ley de emprendimiento;53715148;Finanzas personales;Clase 1 - 53715148;https://comfama.webex.com/comfama/ldr.php?RCID=b265893495a42e9182bda187f749f663;;28/03/23 0:00
113321;4341;7013;216;Ley de emprendimiento;53715148;Finanzas personales;Clase 1 53715148 Reposición;https://comfama.webex.com/comfama/ldr.php?RCID=4b8ea374e08a023121c14a7528e81ced;;28/03/23 0:00
113373;4343;6982;216;Ley de emprendimiento;53715202;Redes sociales básicas para el emprendimiento;Clase 1 - 53715202;https://comfama.webex.com/comfama/ldr.php?RCID=9f5e7e8271346b2f2d856c2e1dd00cbd;;1/04/23 0:00
113374;4343;6982;216;Ley de emprendimiento;53715202;Redes sociales básicas para el emprendimiento;Clase 2 - 53715202;https://comfama.webex.com/comfama/ldr.php?RCID=c709f23c5c439f4b327b5a41b097c085;;1/04/23 0:00
113375;4343;6982;216;Ley de emprendimiento;53715202;Redes sociales básicas para el emprendimiento;Clase 3 - 53715202;https://comfama.webex.com/comfama/ldr.php?RCID=59b925287db1b6e75ac38c99c0ff7726;;1/04/23 0:00
113376;4343;6982;216;Ley de emprendimiento;53715202;Redes sociales básicas para el emprendimiento;Clase 1 Reposición - 53715202;https://comfama.webex.com/comfama/ldr.php?RCID=e4543f2add8f72cf664bdba0e209f10d;;1/04/23 0:00
110168;4333;7006;216;Ley de emprendimiento;53715897;Liderazgo Empresarial;Clase 1 - 53715897;https://comfama.webex.com/comfama/ldr.php?RCID=04bc28c1b152cfbc6f40de66f183ab7d;;23/01/23 0:00
110169;4333;7006;216;Ley de emprendimiento;53715897;Liderazgo Empresarial;Clase 2 - 53715897;https://comfama.webex.com/comfama/ldr.php?RCID=b4688a584d676da2c8092ca123e86528;;23/01/23 0:00
110170;4333;7006;216;Ley de emprendimiento;53715897;Liderazgo Empresarial;Clase 3 - 53715897;https://comfama.webex.com/comfama/ldr.php?RCID=ed551e0a94d3cf856ff994abc06c295f;;23/01/23 0:00
110171;4333;7006;216;Ley de emprendimiento;53715897;Liderazgo Empresarial;Clase 4 - 53715897;https://comfama.webex.com/comfama/ldr.php?RCID=ff84f354147871dd86d90f1d196aaf8c;;23/01/23 0:00
110172;4333;7006;216;Ley de emprendimiento;53715897;Liderazgo Empresarial;Clase 5 - 53715897;https://comfama.webex.com/comfama/ldr.php?RCID=42400088b064c6ffae41ed82586f49f6;;23/01/23 0:00
110195;4345;6985;216;Ley de emprendimiento;53715905;Fórmulas esenciales en Excel;Clase 1 - 53715905;https://comfama.webex.com/comfama/ldr.php?RCID=052ea94eb93d2d79e46016d3d766f0ed;;23/01/23 0:00
110196;4345;6985;216;Ley de emprendimiento;53715905;Fórmulas esenciales en Excel;Clase 2 - 53715905;https://comfama.webex.com/comfama/ldr.php?RCID=e4f5352bb5484bc75af1e9c12c044c09;;23/01/23 0:00
110197;4345;6985;216;Ley de emprendimiento;53715905;Fórmulas esenciales en Excel;Clase 3 - 53715905;https://comfama.webex.com/comfama/ldr.php?RCID=0898ef5f95ac9ee0200bba765d6ce6b8;;23/01/23 0:00
110198;4345;6985;216;Ley de emprendimiento;53715905;Fórmulas esenciales en Excel;Clase 4 - 53715905;https://comfama.webex.com/comfama/ldr.php?RCID=c9dab61c00e09db235fead5a07f5cce0;;23/01/23 0:00
110848;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 1 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=38ea23b08a7768a27a74b0eaf2d410ad;;27/02/23 0:00
110849;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 2 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=debf8465fdf560e9fa0fe8d3c63da043;;27/02/23 0:00
110850;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 3 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=0b1391f2cec8aacabd248094e61c31f7;;27/02/23 0:00
110851;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 4 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=fdf4bd6fdfb72c38dab2ea89a66acec3;;27/02/23 0:00
110852;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 5 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=7beec62ba2dd080efce6dc3887f5cc71;;27/02/23 0:00
110853;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 6 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=deae60896bad0992a0a9ea85a7b1ec27;;27/02/23 0:00
110854;4367;7515;216;Ley de emprendimiento;53735946;Convierte en un pro en excel;Clase 7 - 53735946;https://comfama.webex.com/comfama/ldr.php?RCID=3c94122b9083a2cb718dcd045b3d2c8b;;27/02/23 0:00
110727;4392;7540;216;Ley de emprendimiento;53737425;Excel tablas dinámicas para tu labor;Clase 1 - 53737425;https://comfama.webex.com/comfama/ldr.php?RCID=f06ab2c8fe6eafeeba92aa37c094f16f;;20/02/23 0:00
110728;4392;7540;216;Ley de emprendimiento;53737425;Excel tablas dinámicas para tu labor;Clase 2 - 53737425;https://comfama.webex.com/comfama/ldr.php?RCID=424d8700def9823df4068208b56a0f0a;;20/02/23 0:00
110743;4396;7544;216;Ley de emprendimiento;53738078;Fórmulas esenciales en Excel;Clase 1 - 53738078;https://comfama.webex.com/comfama/ldr.php?RCID=648393fff7b745ac270c50eec83cb72f;;20/02/23 0:00
110744;4396;7544;216;Ley de emprendimiento;53738078;Fórmulas esenciales en Excel;Clase 2 - 53738078;https://comfama.webex.com/comfama/ldr.php?RCID=6265d4d808fccea4f50ba7039b25a6b2;;20/02/23 0:00
110745;4396;7544;216;Ley de emprendimiento;53738078;Fórmulas esenciales en Excel;Clase 3 - 53738078;https://comfama.webex.com/comfama/ldr.php?RCID=30688a9cab883f3c177948b5967715a5;;20/02/23 0:00
110746;4396;7544;216;Ley de emprendimiento;53738078;Fórmulas esenciales en Excel;Clase 4 - 53738078;https://comfama.webex.com/comfama/ldr.php?RCID=b4073da74fc997b270d479a7753a20f5;;20/02/23 0:00
110807;4402;7579;216;Ley de emprendimiento;53742598;Atención al cliente;Clase 1 - 53742598;https://comfama.webex.com/comfama/ldr.php?RCID=dbc76bb8785adcd500420894b51146c2;;24/02/23 0:00
